movieId,title,genres,rating
125211,War and Peace (1965),(no genres listed),5.0
133299,Tar Creek (2009),(no genres listed),5.0
134107,The Stroll (2003),(no genres listed),5.0
140144,The Story of O Part 2 (1984),(no genres listed),5.0
144742,Milton Glaser: To Inform & Delight (2008),(no genres listed),5.0
147144,Hachi-ko (1987),(no genres listed),5.0
151585,Liquidation (2007),(no genres listed),5.0
153873,"My God, My God, Why Hast Thou Forsaken Me? (2005)",(no genres listed),5.0
157300,My Super Psycho Sweet 16: Part 2 (2010),(no genres listed),5.0
157302,My Super Psycho Sweet 16: Part 3 (2012),(no genres listed),5.0
160378,Sicario (1994),(no genres listed),5.0
162608,Kevin Hart: What Now? (2016),(no genres listed),5.0
165493,The Babushkas of Chernobyl (2015),(no genres listed),5.0
166267,Finnish Blood Swedish Heart (2012),(no genres listed),5.0
182723,Cosmos: A Spacetime Odissey,(no genres listed),5.0
189159,Born in the USSR: 14 Up (1998),(no genres listed),5.0
189161,Born in the USSR: 21 Up (2005),(no genres listed),5.0
176601,Black Mirror,(no genres listed),4.541666666666667
125127,Voyna i mir III. - Borogyino (1967),(no genres listed),4.5
134861,Trevor Noah: African American (2013),(no genres listed),4.5
144204,L'étudiante et Monsieur Henri (2015),(no genres listed),4.5
152171,Michael Jackson - Bad (1987),(no genres listed),4.5
154898,Dream Work (2001),(no genres listed),4.5
157847,Being Charlie (2016),(no genres listed),4.5
160590,Survive and Advance (2013),(no genres listed),4.5
166862,The Women's Balcony,(no genres listed),4.5
170231,Jaurès (2012),(no genres listed),4.5
176091,Opus III (1924),(no genres listed),4.5
177071,House of Cards (1990),(no genres listed),4.5
178271,Pururambo,(no genres listed),4.5
3283,Minnie and Moskowitz (1971),Action,5.0
5369,Big Bad Mama (1974),Action,5.0
73954,Air Force (1943),Action,5.0
112807,Gunbuster (Top wo Narae) (1988),Action,5.0
125920,Buffalo Girls (2012),Action,5.0
126134,Cutie Honey (2004),Action,5.0
148838,Zhit (2010),Action,5.0
151781,Ghost in the Shell: Solid State Society (2006),Action,5.0
165885,Smoke & Mirrors (2016),Action,5.0
169902,Sleight (2017),Action,5.0
173153,Heroes Shed No Tears (1986),Action,5.0
207642,Kabir Singh (2019),Action,5.0
26495,Yellowbeard (1983),Action,4.75
83450,Brest Fortress (Brestskaya krepost) (2010),Action,4.75
130518,The Amazing Screw-On Head (2006),Action,4.75
5964,Company Business (1991),Action,4.5
27485,Pistol Opera (Pisutoru opera) (2001),Action,4.5
33905,Somebody Up There Likes Me (1956),Action,4.5
34231,Fighter in the Wind (2004),Action,4.5
50892,Izo (2004),Action,4.5
57854,The Count of Monte Cristo (1934),Action,4.5
61493,Flash Point (a.k.a. Flashpoint) (Dou fo sin) (2007),Action,4.5
68486,Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),Action,4.5
69136,Don (1978),Action,4.5
94011,"Big Bang, The (2011)",Action,4.5
110599,"Sweet Jesus, Preacherman (1973)",Action,4.5
112404,Jack Strong (2014),Action,4.5
117565,God Forgives... I Don't! (1967),Action,4.5
124326,White Line Fever (1975),Action,4.5
125874,2012: Ice Age (2011),Action,4.5
33,Wings of Courage (1995),Adventure,5.0
27528,"Warrior, The (2001)",Adventure,5.0
47868,Ronja Robbersdaughter (Ronja Rövardotter) (1984),Adventure,5.0
48501,G.O.R.A. (2004),Adventure,5.0
70282,Aliens in the Attic (2009),Adventure,5.0
92740,Chapiteau-show (Shapito-shou) (2011),Adventure,5.0
97665,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),Adventure,5.0
101536,Alabama Moon (2009),Adventure,5.0
117877,The Rabbi's Cat (Le chat du rabbin) (2011),Adventure,5.0
122129,Scooby-Doo! Camp Scare (2010),Adventure,5.0
134829,Ashens and the Quest for the Gamechild (2013),Adventure,5.0
139620,Everything's Gonna Be Great (1998),Adventure,5.0
156037,Hopelessly Lost (1973),Adventure,5.0
159403,Neo Tokyo (1987),Adventure,5.0
175387,On the Trail of the Bremen Town Musicians (1973),Adventure,5.0
182547,Under an Arctic Sky (2017),Adventure,5.0
26495,Yellowbeard (1983),Adventure,4.75
99642,Tiny Toon Adventures: How I Spent My Vacation (1992),Adventure,4.75
130518,The Amazing Screw-On Head (2006),Adventure,4.75
181751,Lagaan: Once Upon a Time in India (2001),Adventure,4.75
111778,Tracks (2013),Adventure,4.666666666666667
5038,"Flight of Dragons, The (1982)",Adventure,4.5
26025,"Spirit of St. Louis, The (1957)",Adventure,4.5
26529,Asterix vs. Caesar (Astérix et la surprise de César) (1985),Adventure,4.5
54241,"Lives of a Bengal Lancer, The (1935)",Adventure,4.5
57854,The Count of Monte Cristo (1934),Adventure,4.5
89554,Zindagi Na Milegi Dobara (2011),Adventure,4.5
93420,"Art of Flight, The (2011)",Adventure,4.5
95717,Treasure Island (2012),Adventure,4.5
106300,"Day The Earth Froze, The (Sampo) (1959)",Adventure,4.5
60259,Bambi 2 (2006),Animation,5.0
